nodeId,status,estimatedLessonChars,focusViChars,focusJaChars,keywords,examExampleChars
transaction-fe,detailed,2778,62,30,4,20
lock-isolation,detailed,2744,54,31,3,14
index-db,detailed,2725,50,28,3,10
view-db,detailed,2707,49,20,2,10
backup-recovery-db,detailed,2733,44,25,3,11
data-warehouse,detailed,2729,42,26,4,16
network-fe,detailed,2740,57,26,3,11
osi-tcpip,detailed,2736,46,27,3,14
ip-subnet,detailed,2739,42,42,3,13
routing,detailed,2741,54,33,3,16
tcp-udp,detailed,2723,47,21,3,19
dns-fe,detailed,2728,56,33,4,10
http-https,detailed,2740,40,38,4,13
email-protocol,detailed,2721,40,27,3,13
wireless-network,detailed,2717,38,27,3,13
load-balancer,detailed,2721,45,22,2,17
security-fe,detailed,2733,47,26,3,11
cia-fe,detailed,2724,59,21,3,14
cryptography,detailed,2725,58,27,4,10
pki-certificate,detailed,2718,39,23,3,14
authentication-authorization,detailed,2728,40,21,3,18
mfa-password,detailed,2738,53,29,3,9
access-control,detailed,2727,50,24,3,12
malware,detailed,2725,49,29,3,12
web-security,detailed,2738,44,31,3,18
firewall-waf,detailed,2742,53,25,3,11
ids-ips,detailed,2725,46,32,3,13
risk-backup,detailed,2732,39,28,4,16
log-monitoring,detailed,2718,47,26,3,14
system-dev,detailed,2756,50,37,3,8
requirement-fe,detailed,2751,63,24,3,18
basic-design,detailed,2726,54,29,2,13
detailed-design,detailed,2724,47,30,2,14
coding-standards,detailed,2731,55,24,2,10
test-fe,detailed,2739,54,28,4,11
test-design,detailed,2742,56,24,3,12
version-control,detailed,2764,47,46,4,21
agile-scrum,detailed,2764,53,55,3,14
project-mgmt-fe,detailed,2755,52,36,4,18
wbs,detailed,2701,49,24,2,9
critical-path,detailed,2726,46,24,2,17
earned-value,detailed,2732,39,29,6,13
quality-management,detailed,2726,51,26,3,10
service-mgmt-fe,detailed,2760,43,47,3,21
sla,detailed,2719,56,28,3,12
bcp,detailed,2717,47,23,4,13
it-governance,detailed,2723,50,25,2,13
strategy-fe,detailed,2727,50,22,3,13
swot,detailed,2731,66,25,3,15
kpi-kgi,detailed,2729,57,25,3,15
bsc,detailed,2726,48,26,3,10
marketing-basic,detailed,2726,46,26,3,12
accounting-fe,detailed,2731,52,26,3,12
depreciation,detailed,2725,69,20,2,11
break-even,detailed,2723,46,23,3,19
law-fe,detailed,2743,56,26,3,12
intellectual-property,detailed,2715,42,22,4,13
personal-info-law,detailed,2754,61,28,3,16
standardization,detailed,2717,47,26,3,11
bit-operation,detailed,2708,34,24,3,14
string-processing,detailed,2733,53,31,3,12
file-processing-algorithm,detailed,2731,43,24,3,11
state-transition,detailed,2717,50,23,2,10
compiler-interpreter,detailed,2752,61,26,2,13
middleware,detailed,2730,54,29,3,11
availability-reliability,detailed,2734,47,23,4,8
fault-tolerance,detailed,2726,42,22,2,14
db-security,detailed,2739,50,27,3,11
data-modeling-cardinality,detailed,2715,54,21,3,10
vpn,detailed,2711,47,27,3,9
zero-trust,detailed,2723,54,21,3,13
incident-response,detailed,2737,55,24,3,14
devops-cicd,detailed,2744,52,36,3,8
ui-ux-basic,detailed,2735,56,29,3,13
roi-investment,detailed,2735,54,25,3,10
outsourcing,detailed,2726,53,23,3,11
